<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
QNW,20161226,10.0000,10.0000,10.0000,10.0000,0
QNW,20161227,10.0000,10.0000,10.0000,10.0000,0
QNW,20161228,10.0000,10.0000,10.0000,10.0000,0
QNW,20161229,10.0000,10.0000,10.0000,10.0000,0
QNW,20161230,10.0000,10.0000,10.0000,10.0000,0
QNW,20170103,10.0000,10.0000,10.0000,10.0000,0
QNW,20170104,10.0000,10.0000,10.0000,10.0000,0
QNW,20170105,10.0000,10.0000,10.0000,10.0000,0
QNW,20170106,10.0000,10.0000,10.0000,10.0000,0
QNW,20170109,10.0000,10.0000,10.0000,10.0000,0
QNW,20170110,10.0000,10.0000,10.0000,10.0000,0
QNW,20170111,10.0000,10.0000,10.0000,10.0000,0
QNW,20170112,10.0000,10.0000,10.0000,10.0000,0
QNW,20170113,10.0000,10.0000,10.0000,10.0000,0
QNW,20170116,10.0000,10.0000,10.0000,10.0000,0
QNW,20170117,10.0000,10.0000,10.0000,10.0000,0
QNW,20170118,10.0000,10.0000,10.0000,10.0000,0
QNW,20170119,10.0000,10.0000,10.0000,10.0000,0
QNW,20170120,10.0000,10.0000,10.0000,10.0000,0
QNW,20170123,10.0000,10.0000,10.0000,10.0000,0
QNW,20170124,10.0000,10.0000,10.0000,10.0000,0
QNW,20170125,10.0000,10.0000,10.0000,10.0000,0
QNW,20170202,10.0000,10.0000,10.0000,10.0000,0
QNW,20170203,10.0000,10.0000,10.0000,10.0000,0
QNW,20170206,10.0000,10.0000,10.0000,10.0000,0
QNW,20170207,10.0000,10.0000,10.0000,10.0000,0
QNW,20170208,10.0000,10.0000,10.0000,10.0000,0
QNW,20170209,10.0000,10.0000,10.0000,10.0000,0
QNW,20170210,10.0000,10.0000,10.0000,10.0000,0
QNW,20170213,10.0000,10.0000,10.0000,10.0000,0
QNW,20170214,10.0000,10.0000,10.0000,10.0000,0
QNW,20170215,10.0000,10.0000,10.0000,10.0000,0
QNW,20170216,10.0000,10.0000,10.0000,10.0000,0
QNW,20170217,10.0000,10.0000,10.0000,10.0000,0
QNW,20170220,10.0000,10.0000,10.0000,10.0000,0
QNW,20170221,10.0000,10.0000,10.0000,10.0000,0
QNW,20170222,10.0000,10.0000,10.0000,10.0000,0
QNW,20170223,10.0000,10.0000,10.0000,10.0000,0
QNW,20170224,10.0000,10.0000,10.0000,10.0000,0
QNW,20170227,10.0000,10.0000,10.0000,10.0000,0
QNW,20170228,10.0000,10.0000,10.0000,10.0000,0
QNW,20170301,10.0000,10.0000,10.0000,10.0000,0
QNW,20170302,10.0000,10.0000,10.0000,10.0000,0
QNW,20170303,10.0000,10.0000,10.0000,10.0000,0
QNW,20170306,10.0000,10.0000,10.0000,10.0000,0
QNW,20170307,10.0000,10.0000,10.0000,10.0000,0
QNW,20170308,10.0000,10.0000,10.0000,10.0000,0
QNW,20170309,10.0000,10.0000,10.0000,10.0000,0
QNW,20170310,10.0000,10.0000,10.0000,10.0000,0
QNW,20170313,10.0000,10.0000,10.0000,10.0000,0
QNW,20170314,10.0000,10.0000,10.0000,10.0000,0
QNW,20170315,10.0000,10.0000,10.0000,10.0000,0
QNW,20170316,10.0000,10.0000,10.0000,10.0000,0
QNW,20170317,10.0000,10.0000,10.0000,10.0000,0
QNW,20170320,10.0000,10.0000,10.0000,10.0000,0
QNW,20170321,10.0000,10.0000,10.0000,10.0000,0
QNW,20170322,10.0000,10.0000,10.0000,10.0000,0
QNW,20170323,10.0000,10.0000,10.0000,10.0000,0
QNW,20170324,10.0000,10.0000,10.0000,10.0000,0
QNW,20170327,10.0000,10.0000,10.0000,10.0000,0
QNW,20170328,10.0000,10.0000,10.0000,10.0000,0
QNW,20170329,10.0000,10.0000,10.0000,10.0000,0
QNW,20170330,10.0000,10.0000,10.0000,10.0000,0
QNW,20170331,10.0000,10.0000,10.0000,10.0000,0
QNW,20170403,10.0000,10.0000,10.0000,10.0000,0
QNW,20170404,10.0000,10.0000,10.0000,10.0000,0
QNW,20170405,10.0000,10.0000,10.0000,10.0000,0
QNW,20170407,10.0000,10.0000,10.0000,10.0000,0
QNW,20170410,10.0000,10.0000,10.0000,10.0000,0
QNW,20170411,10.0000,10.0000,10.0000,10.0000,0
QNW,20170412,10.0000,10.0000,10.0000,10.0000,0
QNW,20170413,10.0000,10.0000,10.0000,10.0000,0
QNW,20170414,10.0000,10.0000,10.0000,10.0000,0
QNW,20170417,10.0000,10.0000,10.0000,10.0000,0
QNW,20170418,10.0000,10.0000,10.0000,10.0000,0
QNW,20170419,10.0000,10.0000,10.0000,10.0000,0
QNW,20170420,10.0000,10.0000,10.0000,10.0000,0
QNW,20170421,10.0000,10.0000,10.0000,10.0000,0
QNW,20170424,10.0000,10.0000,10.0000,10.0000,0
